,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue,HATT,HMID,HDEF,HOVR,AATT,AMID,ADEF,AOVR
0,Watford,Everton,12/10/2016 12:30:00,11,18,8,20,3-2,14,14,3.1,3.4,2.45,3,3.3,2.4,2.95,3.3,2.4,3,3.4,2.45,3.15,3.39,2.45,46,25.8,36,189.35,4.12,39,24.9,22,284.35,7.29,78,78,76,77,85,78,79,80
1,Arsenal,Stoke,12/10/2016 15:00:00,2,31,9,19,3-1,14,14,1.35,5.5,9.5,1.35,5,9,1.4,4.8,7.5,1.36,5.25,9,1.38,5.29,9.21,42,23.7,26,522.75,12.45,34,26.1,27,193.25,5.68,81,83,82,83,77,78,77,78
2,Burnley,Bournemouth,12/10/2016 15:00:00,15,14,10,18,3-2,14,14,3.5,3.5,2.2,3.4,3.4,2.15,2.95,3.3,2.4,3.4,3.4,2.25,3.48,3.45,2.26,36,25.7,14,81.8,2.27,41,23.4,16,103.5,2.52,74,74,76,74,74,75,74,74
3,Hull,Crystal Palace,12/10/2016 15:00:00,19,11,14,14,3-3,14,14,3.5,3.3,2.3,3.3,3.25,2.3,2.85,3.3,2.5,3.4,3.3,2.3,3.43,3.37,2.32,42,25,22,132.95,3.17,45,25.1,25,215.7,4.79,76,74,75,75,80,77,76,77
4,Swansea,Sunderland,12/10/2016 15:00:00,20,9,18,11,3-0,14,14,2.15,3.5,3.6,2.15,3.3,3.6,2.2,3.35,3.3,2.1,3.5,3.6,2.14,3.55,3.68,37,25.9,34,137.1,3.71,42,24.3,27,112.5,2.68,78,76,75,77,81,76,73,76
5,Leicester,Man City,12/10/2016 17:30:00,16,13,4,30,4-2,14,14,5.25,4,1.7,4.75,4,1.7,4.8,3.6,1.75,5,3.9,1.73,5.28,4.1,1.7,31,25.6,21,175,5.65,44,24.7,36,621.4,14.12,79,78,76,78,83,85,81,83
6,Chelsea,West Brom,12/11/2016 12:00:00,1,34,7,20,1-0,14,14,1.25,6.25,15,1.26,6.25,10.5,1.3,5.5,9.5,1.25,6,13,1.27,6.25,14.32,37,26.1,26,945.8,25.56,30,26.3,17,115.1,3.84,86,84,81,83,81,76,74,75
7,Man Utd,Tottenham,12/11/2016 14:15:00,6,21,5,27,1-0,14,14,2.2,3.4,3.6,2.15,3.4,3.4,2.1,3.4,3.5,2.2,3.4,3.5,2.22,3.37,3.64,42,23.5,24,553.25,12.7,38,22.7,20,385.5,10.14,84,84,82,83,85,81,81,81
8,Southampton,Middlesbrough,12/11/2016 14:15:00,12,17,13,15,1-0,14,14,1.7,3.7,6,1.65,3.7,5.75,1.7,3.7,5,1.67,3.75,6,1.68,3.68,6.42,36,24.4,19,214.25,5.95,35,26.3,21,121.75,3.48,78,76,77,78,76,74,74,75
9,Liverpool,West Ham,12/11/2016 16:30:00,3,30,17,12,2-2,14,14,1.3,6,11,1.3,5.75,9,1.3,5.5,9.5,1.29,6,11,1.29,6.29,11.73,38,23.4,23,394.15,10.37,44,23.7,27,240.78,55.47,82,81,81,81,79,77,77,78
10,Everton,Arsenal,12/13/2016 19:45:00,9,20,2,34,2-1,15,15,4.2,3.75,1.91,4.25,3.7,1.9,4.1,3.5,1.9,4.25,3.6,1.91,4.28,3.77,1.92,39,24.9,22,284.35,7.29,42,23.7,26,522.75,12.45,85,78,79,80,81,83,82,83
11,Bournemouth,Leicester,12/13/2016 19:45:00,12,18,14,16,1-0,15,15,2.4,3.4,3.2,2.35,3.4,3,2.4,3.3,2.95,2.4,3.4,3.1,2.43,3.47,3.13,41,23.4,16,103.5,2.52,31,25.6,21,175,5.65,74,75,74,74,79,78,76,78
12,Middlesbrough,Liverpool,12/14/2016 19:45:00,16,15,3,31,0-3,15,15,6,4.33,1.6,6,4.1,1.57,5.5,4,1.6,5.75,4,1.57,6.48,4.28,1.58,35,26.3,21,121.75,3.48,38,23.4,23,394.15,10.37,76,74,74,75,82,81,81,81
13,Sunderland,Chelsea,12/14/2016 19:45:00,20,11,1,37,0-1,15,15,10,5.75,1.33,9.5,5,1.34,9.5,5.5,1.3,9,5,1.33,10.45,5.72,1.33,42,24.3,27,112.5,2.68,37,26.1,26,945.8,25.56,81,76,73,76,86,84,81,83
14,West Ham,Burnley,12/14/2016 19:45:00,17,13,13,17,1-0,15,15,1.67,4,5.75,1.6,4.1,5.5,1.7,3.7,5,1.62,3.8,5.5,1.65,4.13,5.82,44,23.7,27,240.78,55.47,36,25.7,14,81.8,2.27,79,77,77,78,74,74,76,74
15,Crystal Palace,Man Utd,12/14/2016 20:00:00,15,15,6,24,1-2,15,15,5.25,4,1.7,5.5,3.8,1.65,4.8,3.6,1.75,5,3.8,1.67,5.56,4.08,1.68,45,25.1,25,215.7,4.79,42,23.5,24,553.25,12.7,80,77,76,77,84,84,82,83
16,West Brom,Swansea,12/14/2016 20:00:00,8,20,18,12,3-1,15,15,2.05,3.5,4,1.95,3.5,4,2,3.4,3.8,2,3.3,3.8,2.06,3.5,4.04,30,26.3,17,115.1,3.84,37,25.9,34,137.1,3.71,81,76,74,75,78,76,75,77
17,Man City,Watford,12/14/2016 20:00:00,4,30,7,21,2-0,15,15,1.29,6.5,11,1.22,6.5,12.5,1.3,5.5,9.5,1.25,6,11,1.28,6.4,12.25,44,24.7,36,621.4,14.12,46,25.8,36,189.35,4.12,83,85,81,83,78,78,76,77
18,Stoke,Southampton,12/14/2016 20:00:00,11,19,10,20,0-0,15,15,3.1,3.3,2.5,2.95,3.3,2.45,2.85,3.1,2.6,3.1,3.1,2.38,3.29,3.25,2.45,34,26.1,27,193.25,5.68,36,24.4,19,214.25,5.95,77,78,77,78,78,76,77,78
19,Tottenham,Hull,12/14/2016 20:00:00,5,27,19,12,3-0,15,15,1.22,7,15,1.22,6.5,13.5,1.25,6,11,1.22,6,13,1.25,6.6,14,38,22.7,20,385.5,10.14,42,25,22,132.95,3.17,85,81,81,81,76,74,75,75
20,Crystal Palace,Chelsea,12/17/2016 12:30:00,16,15,1,40,0-1,16,16,6.5,4.2,1.57,6,4.1,1.57,6.5,4.2,1.5,6,4,1.62,5.85,4.3,1.62,45,25.1,25,215.7,4.79,37,26.1,26,945.8,25.56,80,77,76,77,86,84,81,83
