,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue,HATT,HMID,HDEF,HOVR,AATT,AMID,ADEF,AOVR
21,Stoke,Leicester,12/17/2016 15:00:00,12,20,14,16,2-2,16,16,2.6,3.4,2.9,2.45,3.4,2.9,2.5,3.3,2.85,2.6,3.3,2.88,2.59,3.35,2.98,34,26.1,27,193.25,5.68,31,25.6,21,175,5.65,77,78,77,78,79,78,76,78
22,Sunderland,Watford,12/17/2016 15:00:00,20,11,11,21,1-0,16,16,2.63,3.3,2.9,2.55,3.2,2.9,2.5,3.3,2.85,2.62,3.25,2.88,2.67,3.23,2.97,42,24.3,27,112.5,2.68,46,25.8,36,189.35,4.12,81,76,73,76,78,78,76,77
23,Middlesbrough,Swansea,12/17/2016 15:00:00,17,15,18,12,3-0,16,16,2.1,3.4,4,2.05,3.4,3.75,2.1,3.4,3.5,2.1,3.4,3.8,2.07,3.42,4.1,35,26.3,21,121.75,3.48,37,25.9,34,137.1,3.71,76,74,74,75,78,76,75,77
24,West Ham,Hull,12/17/2016 15:00:00,15,16,19,12,1-0,16,16,1.62,4.1,6,1.65,4.1,5,1.65,3.8,5.3,1.62,4,6,1.67,4.09,5.7,44,23.7,27,240.78,55.47,42,25,22,132.95,3.17,79,77,77,78,76,74,75,75
25,West Brom,Man Utd,12/17/2016 17:30:00,7,23,6,27,0-2,16,16,5.75,3.8,1.7,5.25,3.6,1.72,4.8,3.6,1.75,5.5,3.6,1.73,5.53,3.77,1.74,30,26.3,17,115.1,3.84,42,23.5,24,553.25,12.7,81,76,74,75,84,84,82,83
26,Bournemouth,Southampton,12/18/2016 13:30:00,10,21,9,21,1-3,16,16,3,3.3,2.6,2.85,3.25,2.55,2.65,3.3,2.65,2.9,3.2,2.62,2.95,3.23,2.69,41,23.4,16,103.5,2.52,36,24.4,19,214.25,5.95,74,75,74,74,78,76,77,78
27,Tottenham,Burnley,12/18/2016 16:00:00,5,30,13,17,2-1,16,16,1.22,7,15,1.2,7,13,1.25,6,11,1.22,6.5,15,1.22,7.35,15,38,22.7,20,385.5,10.14,36,25.7,14,81.8,2.27,85,81,81,81,74,74,76,74
28,Man City,Arsenal,12/18/2016 16:00:00,4,33,3,34,2-1,16,16,2.15,3.6,3.5,2.15,3.6,3.5,2.2,3.35,3.3,2.15,3.5,3.5,2.13,3.56,3.7,44,24.7,36,621.4,14.12,42,23.7,26,522.75,12.45,83,85,81,83,81,83,82,83
29,Everton,Liverpool,12/19/2016 20:00:00,8,23,2,34,0-1,16,16,4.2,3.6,1.95,4.1,3.6,1.9,3.8,3.4,2,4,3.6,1.95,4.27,3.85,1.9,39,24.9,22,284.35,7.29,38,23.4,23,394.15,10.37,85,78,79,80,82,81,81,81
30,Watford,Crystal Palace,12/26/2016 12:30:00,12,21,17,15,1-1,17,17,2.5,3.3,2.9,2.4,3.2,2.9,2.3,3.3,3.15,2.4,3.2,2.9,2.54,3.36,3.05,46,25.8,36,189.35,4.12,45,25.1,25,215.7,4.79,78,78,76,77,80,77,76,77
31,Arsenal,West Brom,12/26/2016 15:00:00,4,34,8,23,1-0,17,17,1.33,5.5,8.5,1.3,5,10,1.33,5.3,8.7,1.33,5,9.5,1.35,5.58,10.12,42,23.7,26,522.75,12.45,30,26.3,17,115.1,3.84,81,83,82,83,81,76,74,75
32,Burnley,Middlesbrough,12/26/2016 15:00:00,16,17,14,18,1-0,17,17,2.9,3.1,2.6,2.85,3.1,2.55,2.75,3.2,2.65,2.9,3,2.5,3.06,3.18,2.64,36,25.7,14,81.8,2.27,35,26.3,21,121.75,3.48,74,74,76,74,76,74,74,75
33,Chelsea,Bournemouth,12/26/2016 15:00:00,1,43,10,21,3-0,17,17,1.36,5,8.5,1.36,4.6,8.25,1.35,5.3,8,1.4,4.33,8.5,1.42,4.78,9.52,37,26.1,26,945.8,25.56,41,23.4,16,103.5,2.52,86,84,81,83,74,75,74,74
34,Leicester,Everton,12/26/2016 15:00:00,15,17,9,23,0-2,17,17,2.5,3.3,2.9,2.4,3.3,2.85,2.3,3.3,3.15,2.4,3.25,2.88,2.57,3.33,3.03,31,25.6,21,175,5.65,39,24.9,22,284.35,7.29,79,78,76,78,85,78,79,80
35,Man Utd,Sunderland,12/26/2016 15:00:00,6,30,18,14,3-1,17,17,1.22,6.5,13,1.22,6.25,11.5,1.22,6.2,13.5,1.2,6,15,1.24,6.95,15,42,23.5,24,553.25,12.7,42,24.3,27,112.5,2.68,84,84,82,83,81,76,73,76
36,Swansea,West Ham,12/26/2016 15:00:00,19,12,13,19,1-4,17,17,2.63,3.2,2.8,2.6,3.2,2.7,2.6,3.25,2.75,2.5,3.3,2.7,2.71,3.43,2.78,37,25.9,34,137.1,3.71,44,23.7,27,240.78,55.47,78,76,75,77,79,77,77,78
37,Hull,Man City,12/26/2016 17:15:00,20,12,3,36,0-3,17,17,10,5.5,1.3,8.5,5,1.33,9.5,5.5,1.3,8.5,5.25,1.33,9.86,5.82,1.34,42,25,22,132.95,3.17,44,24.7,36,621.4,14.12,76,74,75,75,83,85,81,83
38,Liverpool,Stoke,12/27/2016 17:15:00,2,37,11,21,4-1,17,17,1.3,5.5,10,1.3,5.25,9,1.3,5.5,9.5,1.29,5.75,10,1.3,6.15,11.02,38,23.4,23,394.15,10.37,34,26.1,27,193.25,5.68,82,81,81,81,77,78,77,78
39,Southampton,Tottenham,12/28/2016 19:45:00,7,24,5,33,1-4,17,17,2.8,3.25,2.6,2.75,3.2,2.55,2.85,3.3,2.5,2.88,3.1,2.5,3.01,3.3,2.6,36,24.4,19,214.25,5.95,38,22.7,20,385.5,10.14,78,76,77,78,85,81,81,81
40,Hull,Everton,12/30/2016 20:00:00,20,12,7,26,2-2,18,18,4.33,3.5,1.95,4.25,3.5,1.95,4.1,3.5,1.9,4.2,3.4,1.95,4.28,3.43,2.02,42,25,22,132.95,3.17,39,24.9,22,284.35,7.29,76,74,75,75,85,78,79,80
41,Burnley,Sunderland,12/31/2016 15:00:00,14,20,18,14,4-1,18,18,2.4,3.25,3.3,2.35,3.2,3.2,2.4,3.3,2.95,2.38,3.2,3.25,2.38,3.26,3.41,36,25.7,14,81.8,2.27,42,24.3,27,112.5,2.68,74,74,76,74,81,76,73,76
42,Chelsea,Stoke,12/31/2016 15:00:00,1,46,13,21,4-2,18,18,1.25,6.5,14,1.26,5.75,11.5,1.27,5.8,10.5,1.25,6,13,1.28,6.15,12.85,37,26.1,26,945.8,25.56,34,26.1,27,193.25,5.68,86,84,81,83,77,78,77,78
43,Leicester,West Ham,12/31/2016 15:00:00,16,17,11,22,1-0,18,18,2.1,3.6,3.7,2.05,3.5,3.6,2.1,3.4,3.5,2.1,3.5,3.5,2.1,3.56,3.8,31,25.6,21,175,5.65,44,23.7,27,240.78,55.47,79,78,76,78,79,77,77,78
44,Man Utd,Middlesbrough,12/31/2016 15:00:00,6,33,15,18,2-1,18,18,1.25,6,16,1.25,5.5,14.5,1.27,5.8,10.5,1.25,6,13,1.25,6.2,16.45,42,23.5,24,553.25,12.7,35,26.3,21,121.75,3.48,84,84,82,83,76,74,74,75
45,Southampton,West Brom,12/31/2016 15:00:00,8,24,9,23,1-2,18,18,1.75,3.7,5.5,1.75,3.5,5.25,1.7,3.7,5,1.73,3.5,5.5,1.78,3.59,5.55,36,24.4,19,214.25,5.95,30,26.3,17,115.1,3.84,78,76,77,78,81,76,74,75
46,Swansea,Bournemouth,12/31/2016 15:00:00,19,12,12,21,0-3,18,18,2.9,3.4,2.6,2.75,3.4,2.55,2.65,3.3,2.65,2.8,3.5,2.5,2.83,3.49,2.63,37,25.9,34,137.1,3.71,41,23.4,16,103.5,2.52,78,76,75,77,74,75,74,74
47,Liverpool,Man City,12/31/2016 17:30:00,2,40,3,39,1-0,18,18,2.35,3.6,3.1,2.3,3.5,3,2.4,3.3,2.95,2.3,3.6,3,2.37,3.52,3.18,38,23.4,23,394.15,10.37,44,24.7,36,621.4,14.12,82,81,81,81,83,85,81,83
48,Watford,Tottenham,01/01/2017 13:30:00,10,22,5,36,1-4,18,18,5.5,3.75,1.62,5.25,3.8,1.67,5,3.7,1.7,6,3.8,1.62,5.71,3.94,1.69,46,25.8,36,189.35,4.12,38,22.7,20,385.5,10.14,78,78,76,77,85,81,81,81
49,Arsenal,Crystal Palace,01/01/2017 16:00:00,4,37,17,16,2-0,18,18,1.29,5.5,9.5,1.3,5.5,9.75,1.3,5.5,9.5,1.33,5.5,9,1.34,5.6,10.4,42,23.7,26,522.75,12.45,45,25.1,25,215.7,4.79,81,83,82,83,80,77,76,77
50,Middlesbrough,Leicester,01/02/2017 12:30:00,16,18,15,20,0-0,19,19,2.75,3.2,2.88,2.65,3.1,2.85,2.5,3.2,2.9,2.62,3,2.8,2.8,3.16,2.88,35,26.3,21,121.75,3.48,31,25.6,21,175,5.65,76,74,74,75,79,78,76,78
51,West Brom,Hull,01/02/2017 15:00:00,8,26,19,13,3-1,19,19,1.75,3.7,5.5,1.75,3.5,5.25,1.65,3.8,5.3,1.73,3.5,5,1.76,3.72,5.48,30,26.3,17,115.1,3.84,42,25,22,132.95,3.17,81,76,74,75,76,74,75,75
52,Everton,Southampton,01/02/2017 15:00:00,7,27,9,24,3-0,19,19,2.2,3.4,3.6,2.15,3.3,3.5,2.1,3.4,3.5,2.2,3.2,3.4,2.28,3.33,3.55,39,24.9,22,284.35,7.29,36,24.4,19,214.25,5.95,85,78,79,80,78,76,77,78
53,Man City,Burnley,01/02/2017 15:00:00,5,39,11,23,2-1,19,19,1.17,8.5,19,1.17,8,15,1.15,7.5,18,1.17,7.5,19,1.18,8.55,17.5,44,24.7,36,621.4,14.12,36,25.7,14,81.8,2.27,83,85,81,83,74,74,76,74
54,Sunderland,Liverpool,01/02/2017 15:00:00,18,14,2,43,2-2,19,19,11,5.5,1.33,9.5,5.25,1.33,7.5,4.8,1.4,9,5,1.35,9.95,5.55,1.35,42,24.3,27,112.5,2.68,38,23.4,23,394.15,10.37,81,76,73,76,82,81,81,81
55,West Ham,Man Utd,01/02/2017 17:15:00,12,22,6,36,0-2,19,19,6,4,1.65,5.5,4,1.62,5,3.7,1.7,5.25,3.8,1.62,5.77,4.13,1.65,44,23.7,27,240.78,55.47,42,23.5,24,553.25,12.7,79,77,77,78,84,84,82,83
56,Bournemouth,Arsenal,01/03/2017 19:45:00,10,24,3,40,3-3,19,19,4.33,3.4,1.85,4.4,3.7,1.8,4.5,3.6,1.8,4.2,3.75,1.8,4.52,3.87,1.85,41,23.4,16,103.5,2.52,42,23.7,26,522.75,12.45,74,75,74,74,81,83,82,83
57,Crystal Palace,Swansea,01/03/2017 20:00:00,17,16,20,12,1-2,19,19,1.75,3.5,4.75,1.78,3.6,4.75,1.8,3.6,4.5,1.75,3.5,4.75,1.8,3.77,5,45,25.1,25,215.7,4.79,37,25.9,34,137.1,3.71,80,77,76,77,78,76,75,77
58,Stoke,Watford,01/03/2017 20:00:00,14,21,13,22,2-0,19,19,1.8,3.5,4.5,1.9,3.5,4.2,2,3.4,3.8,1.85,3.4,4.5,1.89,3.58,4.7,34,26.1,27,193.25,5.68,46,25.8,36,189.35,4.12,77,78,77,78,78,78,76,77
59,Tottenham,Chelsea,01/04/2017 20:00:00,4,39,1,49,2-0,19,19,2.63,3.25,2.63,2.85,3.3,2.55,3.15,3.3,2.3,2.62,3.3,2.62,2.77,3.35,2.77,38,22.7,20,385.5,10.14,37,26.1,26,945.8,25.56,85,81,81,81,86,84,81,83
60,Tottenham,West Brom,01/14/2017 12:30:00,3,42,8,29,4-0,20,20,1.33,5.5,11,1.33,5.25,9.5,1.35,5.3,8,1.33,5,11,1.32,5.51,12.56,38,22.7,20,385.5,10.14,30,26.3,17,115.1,3.84,85,81,81,81,81,76,74,75
61,Watford,Middlesbrough,01/14/2017 15:00:00,14,22,16,19,0-0,20,20,2.5,3.2,3.2,2.5,3.1,3.1,2.3,3.3,3.15,2.5,3.2,3,2.51,3.18,3.25,46,25.8,36,189.35,4.12,35,26.3,21,121.75,3.48,78,78,76,77,76,74,74,75
62,West Ham,Crystal Palace,01/14/2017 15:00:00,13,22,17,16,3-0,20,20,2.38,3.4,3.2,2.35,3.3,3.1,2.2,3.35,3.3,2.4,3.2,3.2,2.41,3.41,3.2,44,23.7,27,240.78,55.47,45,25.1,25,215.7,4.79,79,77,77,78,80,77,76,77
63,Burnley,Southampton,01/14/2017 15:00:00,12,23,10,24,1-0,20,20,3.6,3.4,2.2,3.5,3.25,2.2,3.2,3.35,2.25,3.4,3.25,2.25,3.75,3.35,2.2,36,25.7,14,81.8,2.27,36,24.4,19,214.25,5.95,74,74,76,74,78,76,77,78
64,Hull,Bournemouth,01/14/2017 15:00:00,20,13,9,25,3-1,20,20,3.3,3.5,2.3,3.2,3.4,2.25,3.15,3.3,2.3,3.2,3.4,2.3,3.34,3.62,2.25,42,25,22,132.95,3.17,41,23.4,16,103.5,2.52,76,74,75,75,74,75,74,74
65,Sunderland,Stoke,01/14/2017 15:00:00,18,15,11,24,1-3,20,20,3.1,3.3,2.5,2.95,3.3,2.45,2.65,3.3,2.65,3,3.25,2.5,3.09,3.45,2.46,42,24.3,27,112.5,2.68,34,26.1,27,193.25,5.68,81,76,73,76,77,78,77,78
66,Swansea,Arsenal,01/14/2017 15:00:00,19,15,5,41,0-4,20,20,7,4.75,1.5,6.25,4.6,1.48,6.5,4.2,1.5,6.5,4.5,1.5,6.54,4.71,1.53,37,25.9,34,137.1,3.71,42,23.7,26,522.75,12.45,78,76,75,77,81,83,82,83
67,Leicester,Chelsea,01/14/2017 17:30:00,15,21,1,49,0-3,20,20,6,4.1,1.62,5.75,3.8,1.62,5,4,1.65,6,3.8,1.62,6.1,3.96,1.66,31,25.6,21,175,5.65,37,26.1,26,945.8,25.56,79,78,76,78,86,84,81,83
68,Everton,Man City,01/15/2017 13:30:00,7,30,4,42,4-0,20,20,4.5,4,1.8,4.4,3.8,1.78,4.1,3.5,1.9,4.33,3.75,1.83,4.54,3.9,1.84,39,24.9,22,284.35,7.29,44,24.7,36,621.4,14.12,85,78,79,80,83,85,81,83
69,Man Utd,Liverpool,01/15/2017 16:00:00,6,39,2,44,1-1,20,20,2.15,3.4,3.75,2.15,3.3,3.6,2.2,3.3,3.35,2.2,3.25,3.6,2.16,3.34,3.88,42,23.5,24,553.25,12.7,38,23.4,23,394.15,10.37,84,84,82,83,82,81,81,81
70,Liverpool,Swansea,01/21/2017 12:30:00,3,45,20,15,2-3,21,21,1.22,7,15,1.2,7,13,1.2,6.5,15,1.22,7,13,1.22,7.55,14,38,23.4,23,394.15,10.37,37,25.9,34,137.1,3.71,82,81,81,81,78,76,75,77
71,Bournemouth,Watford,01/21/2017 15:00:00,11,25,14,23,2-2,21,21,1.83,3.75,4.75,1.8,3.7,4.4,1.9,3.5,4.1,1.85,3.6,4.5,1.84,3.77,4.73,41,23.4,16,103.5,2.52,46,25.8,36,189.35,4.12,74,75,74,74,78,78,76,77
72,Crystal Palace,Everton,01/21/2017 15:00:00,17,16,7,33,0-1,21,21,3.25,3.4,2.38,3,3.4,2.35,3.3,3.35,2.2,3.1,3.4,2.4,3.19,3.45,2.4,45,25.1,25,215.7,4.79,39,24.9,22,284.35,7.29,80,77,76,77,85,78,79,80
73,Middlesbrough,West Ham,01/21/2017 15:00:00,16,20,12,25,1-3,21,21,2.5,3.2,3.25,2.45,3.1,3.1,2.5,3.2,2.9,2.4,3.2,3.2,2.47,3.17,3.33,35,26.3,21,121.75,3.48,44,23.7,27,240.78,55.47,76,74,74,75,79,77,77,78
74,Stoke,Man Utd,01/21/2017 15:00:00,9,27,6,40,1-1,21,21,6,4.2,1.6,5.75,4.1,1.57,5.7,3.9,1.6,6,4,1.62,6.08,4.08,1.64,34,26.1,27,193.25,5.68,42,23.5,24,553.25,12.7,77,78,77,78,84,84,82,83
75,West Brom,Sunderland,01/21/2017 15:00:00,8,29,19,15,2-0,21,21,1.7,3.8,5.75,1.67,3.8,5.25,1.7,3.7,5,1.67,3.8,5.75,1.7,3.91,5.68,30,26.3,17,115.1,3.84,42,24.3,27,112.5,2.68,81,76,74,75,81,76,73,76
76,Man City,Tottenham,01/21/2017 17:30:00,5,42,2,45,2-2,21,21,2.15,3.5,3.6,2.1,3.5,3.5,2.1,3.4,3.5,2.15,3.4,3.6,2.13,3.52,3.75,44,24.7,36,621.4,14.12,38,22.7,20,385.5,10.14,83,85,81,83,85,81,81,81
77,Southampton,Leicester,01/22/2017 12:00:00,13,24,15,21,3-0,21,21,1.83,3.5,5.25,1.83,3.5,4.6,2,3.4,3.8,1.85,3.5,4.75,1.86,3.48,5.1,36,24.4,19,214.25,5.95,31,25.6,21,175,5.65,78,76,77,78,79,78,76,78
78,Arsenal,Burnley,01/22/2017 14:15:00,4,44,10,26,2-1,21,21,1.2,7.5,17,1.18,7.5,14.5,1.22,6.2,13.5,1.2,7,15,1.22,7.35,15.7,42,23.7,26,522.75,12.45,36,25.7,14,81.8,2.27,81,83,82,83,74,74,76,74
79,Chelsea,Hull,01/22/2017 16:30:00,1,52,18,16,2-0,21,21,1.18,8,19,1.16,7.75,16.5,1.15,7.5,18,1.18,7.5,17,1.18,8.5,18,37,26.1,26,945.8,25.56,42,25,22,132.95,3.17,86,84,81,83,76,74,75,75
80,Arsenal,Watford,01/31/2017 19:45:00,2,47,14,24,1-2,22,22,1.22,7,15,1.22,6.5,13,1.22,6.5,12.5,1.22,6.5,13,1.24,6.92,14.64,42,23.7,26,522.75,12.45,46,25.8,36,189.35,4.12,81,83,82,83,78,78,76,77
81,Bournemouth,Crystal Palace,01/31/2017 19:45:00,12,26,18,16,0-2,22,22,2.05,3.5,3.9,2.05,3.4,3.75,2.15,3.35,3.4,2.05,3.4,3.8,2.12,3.57,3.73,41,23.4,16,103.5,2.52,45,25.1,25,215.7,4.79,74,75,74,74,80,77,76,77
82,Burnley,Leicester,01/31/2017 19:45:00,13,26,15,21,1-0,22,22,2.9,3.25,2.7,2.8,3.2,2.65,2.65,3.3,2.65,2.9,3.2,2.65,2.89,3.29,2.7,36,25.7,14,81.8,2.27,31,25.6,21,175,5.65,74,74,76,74,79,78,76,78
83,Middlesbrough,West Brom,01/31/2017 19:45:00,16,20,8,32,1-1,22,22,2.7,3.1,3,2.65,3,2.95,2.6,3.15,2.85,2.7,3,3,2.73,3.05,3.06,35,26.3,21,121.75,3.48,30,26.3,17,115.1,3.84,76,74,74,75,81,76,74,75
84,Sunderland,Tottenham,01/31/2017 19:45:00,20,15,3,46,0-0,22,22,9.5,5.25,1.36,9.5,5.25,1.33,7.5,4.8,1.4,9,5,1.36,9.13,5.41,1.38,42,24.3,27,112.5,2.68,38,22.7,20,385.5,10.14,81,76,73,76,85,81,81,81
85,Swansea,Southampton,01/31/2017 19:45:00,17,18,11,27,2-1,22,22,3.4,3.4,2.3,3.25,3.3,2.3,3.15,3.3,2.3,3.3,3.4,2.25,3.29,3.42,2.36,37,25.9,34,137.1,3.71,36,24.4,19,214.25,5.95,78,76,75,77,78,76,77,78
86,Liverpool,Chelsea,01/31/2017 20:00:00,4,45,1,55,1-1,22,22,2.65,3.25,2.9,2.6,3.3,2.9,2.6,3.2,2.8,2.6,3.25,2.9,2.63,3.33,2.95,38,23.4,23,394.15,10.37,37,26.1,26,945.8,25.56,82,81,81,81,86,84,81,83
87,West Ham,Man City,02/01/2017 19:45:00,10,28,5,43,0-4,22,22,6,4.5,1.57,5.5,4.33,1.57,5.5,4,1.6,5.5,4.33,1.55,5.94,4.55,1.58,44,23.7,27,240.78,55.47,44,24.7,36,621.4,14.12,79,77,77,78,83,85,81,83
88,Man Utd,Hull,02/01/2017 20:00:00,6,41,19,16,0-0,22,22,1.2,7.5,17,1.18,7.5,15,1.2,6.5,15,1.18,7,17,1.2,7.88,17.01,42,23.5,24,553.25,12.7,42,25,22,132.95,3.17,84,84,82,83,76,74,75,75
89,Stoke,Everton,02/01/2017 20:00:00,9,28,7,36,1-1,22,22,2.88,3.4,2.63,2.75,3.3,2.6,2.65,3.3,2.65,2.75,3.25,2.5,2.85,3.4,2.67,34,26.1,27,193.25,5.68,39,24.9,22,284.35,7.29,77,78,77,78,85,78,79,80
90,Chelsea,Arsenal,02/04/2017 12:30:00,1,56,3,47,3-1,23,23,1.95,3.6,4.2,1.95,3.5,4,2.1,3.4,3.5,1.95,3.6,4,1.94,3.58,4.42,37,26.1,26,945.8,25.56,42,23.7,26,522.75,12.45,86,84,81,83,81,83,82,83
91,Southampton,West Ham,02/04/2017 15:00:00,12,27,11,28,1-3,23,23,1.85,3.75,4.5,1.8,3.6,4.6,1.85,3.5,4.3,1.83,3.6,4.5,1.85,3.67,4.84,36,24.4,19,214.25,5.95,44,23.7,27,240.78,55.47,78,76,77,78,79,77,77,78
