,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue,HATT,HMID,HDEF,HOVR,AATT,AMID,ADEF,AOVR
297,Burnley,Leicester,04/25/2015 15:00:00,20,26,,28,0-1,33,32,2.63,3.3,2.9,2.55,3.3,2.8,2.45,3.3,3,2.5,3.34,3.1,2.62,2.88,3,30,25.5,13,36.75,1.23,37,25.9,18,55.85,1.51,71,70,71,70,71,72,68,72
298,Crystal Palace,Hull,04/25/2015 15:00:00,11,42,,28,0-2,33,32,2.05,3.3,4.2,2,3.3,4.1,2,3.4,4.2,2.09,3.34,4.16,2.1,3,4,42,26,25,89.3,2.13,35,26.1,24,122.25,3.49,73,73,73,73,75,73,70,73
299,Newcastle,Swansea,04/25/2015 15:00:00,14,35,8,47,2-3,33,33,2.45,3.25,3.25,2.45,3.2,2.85,2.45,3.3,3,2.42,3.33,3.26,2.5,2.9,3.1,42,22.9,26,139.85,3.33,36,24.3,30,107.7,2.99,74,75,74,75,77,74,74,75
300,QPR,West Ham,04/25/2015 15:00:00,19,26,10,43,0-0,33,33,2.38,3.4,3.25,2.38,3.2,2.95,2.38,3.4,3.2,2.39,3.47,3.2,2.4,3,3.2,41,25.1,24,115.05,2.81,36,24.8,21,123,3.42,74,74,71,75,75,74,72,75
301,Man City,Aston Villa,04/25/2015 17:30:00,4,64,15,32,3-2,33,33,1.29,6,12,1.28,5.75,12.5,1.3,5.75,10,1.27,6.45,12.4,1.29,4.8,12,36,25.4,29,478,13.28,38,24.3,20,127,3.34,83,82,81,82,72,74,74,75
302,Arsenal,Chelsea,04/26/2015 16:00:00,2,66,1,76,0-0,32,32,2.4,3.3,3.3,2.35,3.3,3.2,2.45,3.25,3.1,2.35,3.29,3.44,2.4,3.1,3.1,42,23,29,404.35,9.63,38,23.9,28,526.1,13.84,80,80,77,80,82,82,81,83
303,Hull,Liverpool,04/28/2015 19:45:00,,31,5,58,1-0,33,33,4.33,3.4,2,4.1,3.4,2,4,3.4,2,4.15,3.44,2.04,3.8,3.4,2,35,26.1,24,122.25,3.49,35,23.4,21,285,8.14,75,73,70,73,79,78,75,79
304,Leicester,Chelsea,04/29/2015 19:45:00,17,31,1,77,1-3,33,33,5.75,3.8,1.7,5.25,3.8,1.7,5.25,4,1.65,5.58,3.98,1.69,4.8,3.8,1.7,37,25.9,18,55.85,1.51,38,23.9,28,526.1,13.84,71,72,68,72,82,82,81,83
305,Leicester,Newcastle,05/02/2015 12:45:00,17,31,14,35,3-0,34,34,1.91,3.7,4.33,1.91,3.5,4.1,1.95,3.6,3.8,1.97,3.64,4.18,1.91,3.5,4,37,25.9,18,55.85,1.51,42,22.9,26,139.85,3.33,71,72,68,72,74,75,74,75
306,Swansea,Stoke,05/02/2015 15:00:00,8,50,9,47,2-0,34,34,2.3,3.4,3.4,2.3,3.1,3.2,2.15,3.3,3.5,2.28,3.43,3.45,2.3,3.2,3.2,36,24.3,30,107.7,2.99,30,26.4,23,128.85,4.3,77,74,74,75,76,75,74,76
307,West Ham,Burnley,05/02/2015 15:00:00,11,44,20,26,1-0,34,34,2.25,3.5,3.4,2.25,3.3,3.1,2.15,3.4,3.5,2.29,3.45,3.39,2.25,3.2,3.3,36,24.8,21,123,3.42,30,25.5,13,36.75,1.23,75,74,72,75,71,70,71,70
308,Aston Villa,Everton,05/02/2015 15:00:00,16,32,10,44,3-2,34,34,2.75,3.3,2.8,2.65,3.25,2.6,2.7,3.3,2.7,2.78,3.32,2.79,2.7,3.1,2.7,38,24.3,20,127,3.34,40,24.3,19,177.5,4.44,72,74,74,75,78,78,78,78
309,Liverpool,QPR,05/02/2015 15:00:00,5,58,19,27,2-1,34,34,1.36,5.25,10,1.36,5.25,8.75,1.4,5,8,1.38,5.2,9.56,1.4,4.5,8,35,23.4,21,285,8.14,41,25.1,24,115.05,2.81,79,78,75,79,74,74,71,75
310,Sunderland,Southampton,05/02/2015 15:00:00,18,30,7,57,2-1,33,34,4.2,3.4,2.05,3.6,3.25,2.05,4,3.3,2.05,4.04,3.44,2.08,4,3.1,2.05,34,24.8,20,115.25,3.39,37,23.5,20,150.4,4.06,76,73,72,74,77,75,76,76
311,Chelsea,Crystal Palace,05/03/2015 13:30:00,1,80,12,42,1-0,34,34,1.36,5.25,10,1.36,5,9.25,1.33,5,10,1.35,5.32,10.82,1.36,4.8,8.5,38,23.9,28,526.1,13.84,42,26,25,89.3,2.13,82,82,81,83,73,73,73,73
